LABO,ATTR,AMET
CZ001,ALOE,More details about the Analytical Method here
CZ001,BULK,More details about the Analytical Method here
CZ001,CECS,More details about the Analytical Method here
CZ001,CLAY,More details about the Analytical Method here
CZ001,CLPC,More details about the Analytical Method here
CZ001,ELCO,More details about the Analytical Method here
CZ001,ELEC,More details about the Analytical Method here
CZ001,EXAC,More details about the Analytical Method here
CZ001,EXAL,More details about the Analytical Method here
CZ001,EXCA,More details about the Analytical Method here
CZ001,EXCK,More details about the Analytical Method here
CZ001,EXMG,More details about the Analytical Method here
CZ001,EXNA,More details about the Analytical Method here
CZ001,FEDE,More details about the Analytical Method here
CZ001,FEOE,More details about the Analytical Method here
CZ001,GYPS,More details about the Analytical Method here
CZ001,HCO3,More details about the Analytical Method here
CZ001,MCT1,More details about the Analytical Method here
CZ001,MCT2,More details about the Analytical Method here
CZ001,MCT3,More details about the Analytical Method here
CZ001,MCT4,More details about the Analytical Method here
CZ001,MCT5,More details about the Analytical Method here
CZ001,MCT6,More details about the Analytical Method here
CZ001,MCT7,More details about the Analytical Method here
CZ001,MCT8,More details about the Analytical Method here
CZ001,ORGC,More details about the Analytical Method here
CZ001,P2O5,More details about the Analytical Method here
CZ001,PHAQ,More details about the Analytical Method here
CZ001,PHCA,More details about the Analytical Method here
CZ001,PHKC,"Soil pH measured in a 1:2.5 soil / 0.1M KCl solution (Van Reeuwijk, 2002, p. 56)"
CZ001,PRET,More details about the Analytical Method here
CZ001,PSCL,More details about the Analytical Method here
CZ001,SCO3,More details about the Analytical Method here
CZ001,SDCO,More details about the Analytical Method here
CZ001,SDFI,More details about the Analytical Method here
CZ001,SDME,More details about the Analytical Method here
CZ001,SDTO,More details about the Analytical Method here
CZ001,SDVC,More details about the Analytical Method here
CZ001,SDVF,More details about the Analytical Method here
CZ001,SOCA,More details about the Analytical Method here
CZ001,SOCL,More details about the Analytical Method here
CZ001,SOLK,More details about the Analytical Method here
CZ001,SOMG,More details about the Analytical Method here
CZ001,SONA,More details about the Analytical Method here
CZ001,SSO4,More details about the Analytical Method here
CZ001,STPC,More details about the Analytical Method here
CZ001,TCEQ,More details about the Analytical Method here
CZ001,TOTC,More details about the Analytical Method here
CZ001,TOTN,More details about the Analytical Method here
CZ001,TOTP,More details about the Analytical Method here
CZ002,ALOE,More details about the Analytical Method here
CZ002,BULK,More details about the Analytical Method here
CZ002,CECS,More details about the Analytical Method here
CZ002,CLAY,More details about the Analytical Method here
CZ002,CLPC,More details about the Analytical Method here
CZ002,ELCO,More details about the Analytical Method here
CZ002,ELEC,More details about the Analytical Method here
CZ002,EXAC,More details about the Analytical Method here
CZ002,EXAL,More details about the Analytical Method here
CZ002,EXCA,More details about the Analytical Method here
CZ002,EXCK,More details about the Analytical Method here
CZ002,EXMG,More details about the Analytical Method here
CZ002,EXNA,More details about the Analytical Method here
CZ002,FEDE,More details about the Analytical Method here
CZ002,FEOE,More details about the Analytical Method here
CZ002,GYPS,More details about the Analytical Method here
CZ002,HCO3,More details about the Analytical Method here
CZ002,MCT1,More details about the Analytical Method here
CZ002,MCT2,More details about the Analytical Method here
CZ002,MCT3,More details about the Analytical Method here
CZ002,MCT4,More details about the Analytical Method here
CZ002,MCT5,More details about the Analytical Method here
CZ002,MCT6,More details about the Analytical Method here
CZ002,MCT7,More details about the Analytical Method here
CZ002,MCT8,More details about the Analytical Method here
CZ002,ORGC,More details about the Analytical Method here
CZ002,P2O5,More details about the Analytical Method here
CZ002,PHAQ,More details about the Analytical Method here
CZ002,PHCA,More details about the Analytical Method here
CZ002,PHKC,More details about the Analytical Method here
CZ002,PRET,More details about the Analytical Method here
CZ002,PSCL,More details about the Analytical Method here
CZ002,SCO3,More details about the Analytical Method here
CZ002,SDCO,More details about the Analytical Method here
CZ002,SDFI,More details about the Analytical Method here
CZ002,SDME,More details about the Analytical Method here
CZ002,SDTO,More details about the Analytical Method here
CZ002,SDVC,More details about the Analytical Method here
CZ002,SDVF,More details about the Analytical Method here
CZ002,SOCA,More details about the Analytical Method here
CZ002,SOCL,More details about the Analytical Method here
CZ002,SOLK,More details about the Analytical Method here
CZ002,SOMG,More details about the Analytical Method here
CZ002,SONA,More details about the Analytical Method here
CZ002,SSO4,More details about the Analytical Method here
CZ002,STPC,More details about the Analytical Method here
CZ002,TCEQ,More details about the Analytical Method here
CZ002,TOTC,More details about the Analytical Method here
CZ002,TOTN,More details about the Analytical Method here
CZ002,TOTP,More details about the Analytical Method here
